class,TLOC, TASSERT
./src/test/java/org/jfree/chart/plot/CombinedDomainXYPlotTest.java,163,10
./src/test/java/org/jfree/chart/axis/AxisTest.java,165,57
./src/test/java/org/jfree/data/xy/XYIntervalSeriesTest.java,169,53
./src/test/java/org/jfree/chart/plot/dial/DialPlotTest.java,172,37
./src/test/java/org/jfree/data/category/SlidingCategoryDatasetTest.java,172,42
./src/test/java/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java,172,46
./src/test/java/org/jfree/data/time/TimePeriodValuesTest.java,172,39
./src/test/java/org/jfree/chart/axis/LogAxisTest.java,174,35
./src/test/java/org/jfree/chart/renderer/category/StatisticalBarRendererTest.java,174,20
./src/test/java/org/jfree/data/xy/XIntervalSeriesTest.java,174,51
./src/test/java/org/jfree/chart/GanttChartTest.java,175,4
./src/test/java/org/jfree/chart/block/GridArrangementTest.java,176,38
./src/test/java/org/jfree/chart/renderer/category/LineAndShapeRendererTest.java,177,37
./src/test/java/org/jfree/chart/axis/PeriodAxisTest.java,180,47
./src/test/java/org/jfree/chart/plot/flow/FlowPlotTest.java,180,42
./src/test/java/org/jfree/chart/renderer/category/BarRendererTest.java,185,50
./src/test/java/org/jfree/chart/renderer/xy/XYLineAndShapeRendererTest.java,196,54
./src/test/java/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java,209,65
./src/test/java/org/jfree/data/DefaultKeyedValues2DTest.java,210,48
./src/test/java/org/jfree/chart/plot/SpiderWebPlotTest.java,213,69
./src/test/java/org/jfree/data/RangeTest.java,213,82
./src/test/java/org/jfree/chart/swing/ChartPanelTest.java,216,23
./src/test/java/org/jfree/chart/axis/NumberAxisTest.java,220,61
./src/test/java/org/jfree/data/xy/DefaultIntervalXYDatasetTest.java,220,71
./src/test/java/org/jfree/data/KeyedObjectsTest.java,223,55
./src/test/java/org/jfree/chart/renderer/xy/XYBarRendererTest.java,231,55
./src/test/java/org/jfree/chart/renderer/RendererUtilsTest.java,233,120
./src/test/java/org/jfree/chart/plot/MarkerTest.java,244,55
./src/test/java/org/jfree/data/category/DefaultCategoryDatasetTest.java,247,51
./src/test/java/org/jfree/chart/LegendItemTest.java,257,46
./src/test/java/org/jfree/chart/plot/PolarPlotTest.java,260,89
./src/test/java/org/jfree/data/KeyedObjects2DTest.java,263,51
./src/test/java/org/jfree/chart/JFreeChartTest.java,295,50
./src/test/java/org/jfree/data/statistics/StatisticsTest.java,296,47
./src/test/java/org/jfree/data/category/DefaultIntervalCategoryDatasetTest.java,304,46
./src/test/java/org/jfree/data/time/TimeSeriesCollectionTest.java,308,81
./src/test/java/org/jfree/data/DefaultKeyedValuesTest.java,313,107
./src/test/java/org/jfree/data/time/SecondTest.java,314,69
./src/test/java/org/jfree/data/xy/XYSeriesCollectionTest.java,314,94
./src/test/java/org/jfree/data/time/MinuteTest.java,318,64
./src/test/java/org/jfree/data/time/HourTest.java,328,64
./src/test/java/org/jfree/data/time/YearTest.java,328,47
./src/test/java/org/jfree/data/time/MillisecondTest.java,335,79
./src/test/java/org/jfree/data/time/DayTest.java,360,61
./src/test/java/org/jfree/data/time/MonthTest.java,374,58
./src/test/java/org/jfree/data/time/QuarterTest.java,390,60
./src/test/java/org/jfree/chart/renderer/category/BoxAndWhiskerRendererTest.java,398,38
./src/test/java/org/jfree/data/gantt/TaskSeriesCollectionTest.java,433,132
./src/test/java/org/jfree/data/time/WeekTest.java,460,71
./src/test/java/org/jfree/chart/plot/pie/PiePlotTest.java,467,142
./src/test/java/org/jfree/data/xy/XYSeriesTest.java,512,187
./src/test/java/org/jfree/chart/block/BorderArrangementTest.java,522,154
./src/test/java/org/jfree/chart/renderer/AbstractRendererTest.java,552,185
./src/test/java/org/jfree/data/time/TimeSeriesTest.java,792,214
./src/test/java/org/jfree/chart/axis/DateAxisTest.java,840,203
./src/test/java/org/jfree/chart/plot/CategoryPlotTest.java,905,220
./src/test/java/org/jfree/chart/plot/XYPlotTest.java,994,241
./src/test/java/org/jfree/data/general/DatasetUtilsTest.java,1045,265
